#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 00  72  8.3  9.8 99.00 99.00 99.00 999 1019.2  24.9  24.9 999.0 99.0 99.00
2021 01 01 00 06  61  9.0 11.3 99.00 99.00 99.00 999 1019.0  25.0  24.9 999.0 99.0 99.00
2021 01 01 00 12  64  8.6 10.7 99.00 99.00 99.00 999 1019.0  25.0  24.9 999.0 99.0 99.00
2021 01 01 00 18  68  8.2 10.0 99.00 99.00 99.00 999 1019.0  24.9  24.9 999.0 99.0 99.00
2021 01 01 00 24  73  7.9  9.5 99.00 99.00 99.00 999 1018.9  24.7  24.9 999.0 99.0 99.00
2021 01 01 00 30  61  8.8 10.3 99.00 99.00 99.00 999 1018.8  24.9  24.9 999.0 99.0 99.00
2021 01 01 00 36  60  7.1  9.6 99.00 99.00 99.00 999 1018.8  25.0  24.9 999.0 99.0 99.00
2021 01 01 00 42  76  6.8  9.3 99.00 99.00 99.00 999 1018.7  25.2 999.0 999.0 99.0 99.00
2021 01 01 00 48  68  8.0 10.2 99.00 99.00 99.00 999 1018.8  24.8 999.0 999.0 99.0 99.00
2021 01 01 00 54  70  8.0  9.2 99.00 99.00 99.00 999 1018.9  24.8 999.0 999.0 99.0 99.00
2021 01 01 01 00  73  7.2  9.4 99.00 99.00 99.00 999 1018.9  24.7 999.0 999.0 99.0 99.00
2021 01 01 01 06  68  7.8  9.4 99.00 99.00 99.00 999 1018.9  24.8 999.0 999.0 99.0 99.00
2021 01 01 01 12  67  6.8  9.2 99.00 99.00 99.00 999 1018.7  24.8 999.0 999.0 99.0 99.00
2021 01 01 01 18  62  7.0  9.3 99.00 99.00 99.00 999 1018.7  24.8 999.0 999.0 99.0 99.00
2021 01 01 01 24  79  7.2  9.8 99.00 99.00 99.00 999 1018.8  24.9 999.0 999.0 99.0 99.00
2021 01 01 01 30  66  7.5 10.2 99.00 99.00 99.00 999 1018.7  24.9 999.0 999.0 99.0 99.00
2021 01 01 01 36  54  8.4  9.7 99.00 99.00 99.00 999 1018.6 999.0 999.0 999.0 99.0 99.00
2021 01 01 01 42  65  8.4 10.0 99.00 99.00 99.00 999 1018.6  24.7  24.9 999.0 99.0 99.00
2021 01 01 01 48  75  7.7  9.2 99.00 99.00 99.00 999 1018.7  24.8  24.9 999.0 99.0 99.00
2021 01 01 01 54  64  7.2  9.5 99.00 99.00 99.00 999 1018.8  24.8  24.9 999.0 99.0 99.00
